"Rank","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev"
"142","","Bobo Wilson","TB","vs. NO","117","145","127.8","11.1"
"143","","Darrius Heyward-Bey","PIT","at OAK","132","140","136.5","3.2"
"144","","Chad Beebe","MIN","at SEA","103","159","129.0","23.0"
"145","","J.D. McKissic","SEA","vs. MIN","108","126","117.0","9.0"
"146","","Darius Jennings","TEN ","vs. JAC","109","152","144.8","6.0"
"147","","Josh Malone","CIN","at LAC","119","150","144.8","3.8"
"148","","Malik Turner","SEA","vs. MIN","114","147","134.3","14.5"
"149","","J'Mon Moore","GB","vs. ATL","128","168","143.0","15.0"
"150","","Russell Gage","ATL","at GB","120","148","136.3","11.9"
"151","","Sammie Coates","HOU","vs. IND","127","158","138.7","13.8"
"152","","Rishard Matthews","NYJ","at BUF","123","151","139.7","12.0"
"153","","Gehrig Dieter","KC","vs. BAL","116","149","132.5","16.5"
"154","","Keon Hatcher","OAK","vs. PIT","133","135","134.0","1.0"
"155","","Pharoh Cooper","LAR","at CHI","136","157","145.3","8.7"
"156","","Isaiah Ford","MIA","vs. NE","116","160","138.0","22.0"
"157","","Jalen Tolliver","ARI","vs. DET","131","152","141.5","10.5"
"158","","Tommylee Lewis","NO","at TB","142","153","148.0","4.5"
"159","","Charone Peake","NYJ","at BUF","133","163","149.0","12.3"
"160","","Shelton Gibson","PHI","at DAL","127","167","147.0","20.0"
"161","","Kevin White","CHI","vs. LAR","142","148","145.0","3.0"
"162","","Geremy Davis","LAC","vs. CIN","148","154","151.0","3.0"
""
""
