QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
11745858,11746771,11745856,11745995,11745819,11745923,11745862,11745940,11745951,,QB,Ben Roethlisberger (11746774),Ben Roethlisberger,11746774,QB,6800,PIT@OAK 12/09/2018 04:25PM ET,PIT,25.18
,,,,,,,,,,TE,Travis Kelce (11745843),Travis Kelce,11745843,TE/FLEX,6700,BAL@KC 12/09/2018 01:00PM ET,KC,21.27
,,,,,,,,,,WR,Robert Woods (11745910),Robert Woods,11745910,WR/FLEX,6700,LAR@CHI 12/09/2018 08:20PM ET,LAR,17.69
,,,,,,,,,,RB,Nick Chubb (11745856),Nick Chubb,11745856,RB/FLEX,6700,CAR@CLE 12/09/2018 01:00PM ET,CLE,12.89
,,,,,,,,,,QB,Drew Brees (11746731),Drew Brees,11746731,QB,6600,NO@TB 12/09/2018 01:00PM ET,NO,23.85
,,,,,,,,,,RB,James White (11746639),James White,11746639,RB/FLEX,6600,NE@MIA 12/09/2018 01:00PM ET,NE,19.4
,,,,,,,,,,WR,Amari Cooper (11746739),Amari Cooper,11746739,WR/FLEX,6600,PHI@DAL 12/09/2018 04:25PM ET,DAL,14.12
,,,,,,,,,,QB,Philip Rivers (11746784),Philip Rivers,11746784,QB,6500,CIN@LAC 12/09/2018 04:05PM ET,LAC,21.8
,,,,,,,,,,RB,David Johnson (11745777),David Johnson,11745777,RB/FLEX,6500,DET@ARI 12/09/2018 04:25PM ET,ARI,16.08
,,,,,,,,,,RB,Tarik Cohen (11746780),Tarik Cohen,11746780,RB/FLEX,6400,LAR@CHI 12/09/2018 08:20PM ET,CHI,16.7
,,,,,,,,,,RB,Joe Mixon (11745775),Joe Mixon,11745775,RB/FLEX,6400,CIN@LAC 12/09/2018 04:05PM ET,CIN,17.31
,,,,,,,,,,TE,Zach Ertz (11745862),Zach Ertz,11745862,TE/FLEX,6400,PHI@DAL 12/09/2018 04:25PM ET,PHI,19.9
,,,,,,,,,,WR,Kenny Golladay (11745864),Kenny Golladay,11745864,WR/FLEX,6400,DET@ARI 12/09/2018 04:25PM ET,DET,14.77
,,,,,,,,,,WR,T.Y. Hilton (11746718),T.Y. Hilton,11746718,WR/FLEX,6300,IND@HOU 12/09/2018 01:00PM ET,IND,17.67
,,,,,,,,,,QB,Cam Newton (11745858),Cam Newton,11745858,QB,6300,CAR@CLE 12/09/2018 01:00PM ET,CAR,23.91
,,,,,,,,,,RB,Phillip Lindsay (11746787),Phillip Lindsay,11746787,RB/FLEX,6300,DEN@SF 12/09/2018 04:05PM ET,DEN,16.72
,,,,,,,,,,QB,Jameis Winston (11746678),Jameis Winston,11746678,QB,6200,NO@TB 12/09/2018 01:00PM ET,TB,21.19
,,,,,,,,,,WR,Emmanuel Sanders (11746010),Emmanuel Sanders,11746010,WR/FLEX,6200,DEN@SF 12/09/2018 04:05PM ET,DEN,17.27
,,,,,,,,,,RB,Austin Ekeler (11746695),Austin Ekeler,11746695,RB/FLEX,6200,CIN@LAC 12/09/2018 04:05PM ET,LAC,11.72
,,,,,,,,,,WR,Tyler Boyd (11746424),Tyler Boyd,11746424,WR/FLEX,6100,CIN@LAC 12/09/2018 04:05PM ET,CIN,17.34
,,,,,,,,,,QB,Russell Wilson (11745946),Russell Wilson,11745946,QB,6100,MIN@SEA 12/10/2018 08:15PM ET,SEA,20.42
,,,,,,,,,,WR,Josh Gordon (11746643),Josh Gordon,11746643,WR/FLEX,6000,NE@MIA 12/09/2018 01:00PM ET,NE,12.72
,,,,,,,,,,QB,Aaron Rodgers (11745922),Aaron Rodgers,11745922,QB,6000,ATL@GB 12/09/2018 01:00PM ET,GB,20.66
,,,,,,,,,,RB,Sony Michel (11745890),Sony Michel,11745890,RB/FLEX,5900,NE@MIA 12/09/2018 01:00PM ET,NE,12.77
,,,,,,,,,,QB,Deshaun Watson (11745898),Deshaun Watson,11745898,QB,5900,IND@HOU 12/09/2018 01:00PM ET,HOU,21.31
,,,,,,,,,,QB,Andrew Luck (11746645),Andrew Luck,11746645,QB,5900,IND@HOU 12/09/2018 01:00PM ET,IND,23.17
,,,,,,,,,,QB,Tom Brady (11746207),Tom Brady,11746207,QB,5800,NE@MIA 12/09/2018 01:00PM ET,NE,19.37
,,,,,,,,,,QB,Jared Goff (11745798),Jared Goff,11745798,QB,5800,LAR@CHI 12/09/2018 08:20PM ET,LAR,24.15
,,,,,,,,,,QB,Baker Mayfield (11746685),Baker Mayfield,11746685,QB,5800,CAR@CLE 12/09/2018 01:00PM ET,CLE,18.63
,,,,,,,,,,WR,Jarvis Landry (11746751),Jarvis Landry,11746751,WR/FLEX,5800,CAR@CLE 12/09/2018 01:00PM ET,CLE,13.52
,,,,,,,,,,RB,Dalvin Cook (11745836),Dalvin Cook,11745836,RB/FLEX,5800,MIN@SEA 12/10/2018 08:15PM ET,MIN,11.66
,,,,,,,,,,RB,Mark Ingram (11746151),Mark Ingram,11746151,RB/FLEX,5700,NO@TB 12/09/2018 01:00PM ET,NO,13.78
,,,,,,,,,,QB,Lamar Jackson (11745893),Lamar Jackson,11745893,QB,5700,BAL@KC 12/09/2018 01:00PM ET,BAL,7.25
,,,,,,,,,,TE,Eric Ebron (11746798),Eric Ebron,11746798,TE/FLEX,5700,IND@HOU 12/09/2018 01:00PM ET,IND,15.51
,,,,,,,,,,WR,D.J. Moore (11746648),D.J. Moore,11746648,WR/FLEX,5700,CAR@CLE 12/09/2018 01:00PM ET,CAR,10.91
,,,,,,,,,,QB,Mitchell Trubisky (11745990),Mitchell Trubisky,11745990,QB,5600,LAR@CHI 12/09/2018 08:20PM ET,CHI,24.01
,,,,,,,,,,WR,Allen Robinson II (11745995),Allen Robinson II,11745995,WR/FLEX,5600,LAR@CHI 12/09/2018 08:20PM ET,CHI,12.53
,,,,,,,,,,QB,Matt Ryan (11746355),Matt Ryan,11746355,QB,5600,ATL@GB 12/09/2018 01:00PM ET,ATL,24.22
,,,,,,,,,,QB,Dak Prescott (11746701),Dak Prescott,11746701,QB,5600,PHI@DAL 12/09/2018 04:25PM ET,DAL,17.92
,,,,,,,,,,WR,Tyler Lockett (11745947),Tyler Lockett,11745947,WR/FLEX,5600,MIN@SEA 12/10/2018 08:15PM ET,SEA,14.84
,,,,,,,,,,QB,Kirk Cousins (11746668),Kirk Cousins,11746668,QB,5600,MIN@SEA 12/10/2018 08:15PM ET,MIN,21.23
,,,,,,,,,,QB,Josh Allen (11746671),Josh Allen,11746671,QB,5500,NYJ@BUF 12/09/2018 01:00PM ET,BUF,16.1
,,,,,,,,,,TE,George Kittle (11745830),George Kittle,11745830,TE/FLEX,5500,DEN@SF 12/09/2018 04:05PM ET,SF,14.86
,,,,,,,,,,WR,Alshon Jeffery (11746493),Alshon Jeffery,11746493,WR/FLEX,5500,PHI@DAL 12/09/2018 04:25PM ET,PHI,13.24
,,,,,,,,,,RB,Kerryon Johnson (11746706),Kerryon Johnson,11746706,RB/FLEX,5500,DET@ARI 12/09/2018 04:25PM ET,DET,14.64
,,,,,,,,,,RB,Chris Thompson (11746785),Chris Thompson,11746785,RB/FLEX,5400,NYG@WAS 12/09/2018 01:00PM ET,WAS,11.88
,,,,,,,,,,QB,Carson Wentz (11746022),Carson Wentz,11746022,QB,5400,PHI@DAL 12/09/2018 04:25PM ET,PHI,20.18
,,,,,,,,,,QB,Joe Flacco (11745982),Joe Flacco,11745982,QB,5300,BAL@KC 12/09/2018 01:00PM ET,BAL,16.68
,,,,,,,,,,RB,Josh Adams (11746656),Josh Adams,11746656,RB/FLEX,5300,PHI@DAL 12/09/2018 04:25PM ET,PHI,5.81
,,,,,,,,,,RB,Spencer Ware (11746795),Spencer Ware,11746795,RB/FLEX,5200,BAL@KC 12/09/2018 01:00PM ET,KC,5.09
,,,,,,,,,,WR,Calvin Ridley (11745919),Calvin Ridley,11745919,WR/FLEX,5200,ATL@GB 12/09/2018 01:00PM ET,ATL,13.95
,,,,,,,,,,QB,Case Keenum (11746392),Case Keenum,11746392,QB,5200,DEN@SF 12/09/2018 04:05PM ET,DEN,15.18
,,,,,,,,,,QB,Matthew Stafford (11745934),Matthew Stafford,11745934,QB,5200,DET@ARI 12/09/2018 04:25PM ET,DET,16.34
,,,,,,,,,,TE,Jared Cook (11746763),Jared Cook,11746763,TE/FLEX,5200,PIT@OAK 12/09/2018 04:25PM ET,OAK,14.16
,,,,,,,,,,WR,Corey Davis (11745810),Corey Davis,11745810,WR/FLEX,5100,JAX@TEN 12/06/2018 08:20PM ET,TEN,13.48
,,,,,,,,,,QB,Eli Manning (11746631),Eli Manning,11746631,QB,5100,NYG@WAS 12/09/2018 01:00PM ET,NYG,16.28
,,,,,,,,,,RB,Lamar Miller (11746749),Lamar Miller,11746749,RB/FLEX,5100,IND@HOU 12/09/2018 01:00PM ET,HOU,14.09
,,,,,,,,,,RB,LeSean McCoy (11746625),LeSean McCoy,11746625,RB/FLEX,5000,NYJ@BUF 12/09/2018 01:00PM ET,BUF,10.26
,,,,,,,,,,WR,Sammy Watkins (11745819),Sammy Watkins,11745819,WR/FLEX,5000,BAL@KC 12/09/2018 01:00PM ET,KC,12.11
,,,,,,,,,,QB,Derek Carr (11746543),Derek Carr,11746543,QB,5000,PIT@OAK 12/09/2018 04:25PM ET,OAK,16.55
,,,,,,,,,,QB,Marcus Mariota (11745838),Marcus Mariota,11745838,QB,4900,JAX@TEN 12/06/2018 08:20PM ET,TEN,15.95
,,,,,,,,,,WR,Adam Humphries (11746776),Adam Humphries,11746776,WR/FLEX,4900,NO@TB 12/09/2018 01:00PM ET,TB,12.06
,,,,,,,,,,WR,Chris Godwin (11746793),Chris Godwin,11746793,WR/FLEX,4900,NO@TB 12/09/2018 01:00PM ET,TB,12.8
,,,,,,,,,,RB,Matt Breida (11745773),Matt Breida,11745773,RB/FLEX,4900,DEN@SF 12/09/2018 04:05PM ET,SF,12.86
,,,,,,,,,,WR,Larry Fitzgerald (11745936),Larry Fitzgerald,11745936,WR/FLEX,4900,DET@ARI 12/09/2018 04:25PM ET,ARI,11.07
,,,,,,,,,,RB,Chris Carson (11745868),Chris Carson,11745868,RB/FLEX,4900,MIN@SEA 12/10/2018 08:15PM ET,SEA,12.71
,,,,,,,,,,RB,Adrian Peterson (11746634),Adrian Peterson,11746634,RB/FLEX,4800,NYG@WAS 12/09/2018 01:00PM ET,WAS,14.28
,,,,,,,,,,WR,DeSean Jackson (11746176),DeSean Jackson,11746176,WR/FLEX,4800,NO@TB 12/09/2018 01:00PM ET,TB,14.23
,,,,,,,,,,TE,Rob Gronkowski (11745794),Rob Gronkowski,11745794,TE/FLEX,4800,NE@MIA 12/09/2018 01:00PM ET,NE,11.33
,,,,,,,,,,QB,Ryan Tannehill (11745974),Ryan Tannehill,11745974,QB,4800,NE@MIA 12/09/2018 01:00PM ET,MIA,15.07
,,,,,,,,,,WR,Golden Tate (11746704),Golden Tate,11746704,WR/FLEX,4800,PHI@DAL 12/09/2018 04:25PM ET,PHI,15.21
,,,,,,,,,,WR,Doug Baldwin (11745787),Doug Baldwin,11745787,WR/FLEX,4800,MIN@SEA 12/10/2018 08:15PM ET,SEA,8.78
,,,,,,,,,,QB,Colt McCoy (11745965),Colt McCoy,11745965,QB,4700,NYG@WAS 12/09/2018 01:00PM ET,WAS,10.06
,,,,,,,,,,WR,Devin Funchess (11745859),Devin Funchess,11745859,WR/FLEX,4700,CAR@CLE 12/09/2018 01:00PM ET,CAR,10.78
,,,,,,,,,,WR,Marquise Goodwin (11745803),Marquise Goodwin,11745803,WR/FLEX,4700,DEN@SF 12/09/2018 04:05PM ET,SF,9.85
,,,,,,,,,,QB,Josh Rosen (11745935),Josh Rosen,11745935,QB,4700,DET@ARI 12/09/2018 04:25PM ET,ARI,10.36
,,,,,,,,,,RB,Theo Riddick (11746509),Theo Riddick,11746509,RB/FLEX,4700,DET@ARI 12/09/2018 04:25PM ET,DET,9.22
,,,,,,,,,,TE,Jordan Reed (11745799),Jordan Reed,11745799,TE/FLEX,4600,NYG@WAS 12/09/2018 01:00PM ET,WAS,10.07
,,,,,,,,,,RB,Marlon Mack (11745823),Marlon Mack,11745823,RB/FLEX,4600,IND@HOU 12/09/2018 01:00PM ET,IND,14.91
,,,,,,,,,,WR,Josh Reynolds (11745854),Josh Reynolds,11745854,WR/FLEX,4600,LAR@CHI 12/09/2018 08:20PM ET,LAR,4.46
,,,,,,,,,,QB,Chase Daniel (11745905),Chase Daniel,11745905,QB,4600,LAR@CHI 12/09/2018 08:20PM ET,CHI,6.54
,,,,,,,,,,QB,Nick Mullens (11746012),Nick Mullens,11746012,QB,4600,DEN@SF 12/09/2018 04:05PM ET,SF,17.92
,,,,,,,,,,WR,Tyrell Williams (11746699),Tyrell Williams,11746699,WR/FLEX,4600,CIN@LAC 12/09/2018 04:05PM ET,LAC,9.98
,,,,,,,,,,WR,Christian Kirk (11746529),Christian Kirk,11746529,WR/FLEX,4600,DET@ARI 12/09/2018 04:25PM ET,ARI,10.29
,,,,,,,,,,WR,Josh Doctson (11746137),Josh Doctson,11746137,WR/FLEX,4500,NYG@WAS 12/09/2018 01:00PM ET,WAS,7.77
,,,,,,,,,,WR,Tre'Quan Smith (11745884),Tre'Quan Smith,11745884,WR/FLEX,4500,NO@TB 12/09/2018 01:00PM ET,NO,8.1
,,,,,,,,,,QB,Ryan Fitzpatrick (11745971),Ryan Fitzpatrick,11745971,QB,4500,NO@TB 12/09/2018 01:00PM ET,TB,23.86
,,,,,,,,,,RB,Kenyan Drake (11745975),Kenyan Drake,11745975,RB/FLEX,4500,NE@MIA 12/09/2018 01:00PM ET,MIA,13.5
,,,,,,,,,,RB,Gus Edwards (11745845),Gus Edwards,11745845,RB/FLEX,4500,BAL@KC 12/09/2018 01:00PM ET,BAL,7.66
,,,,,,,,,,QB,Robert Griffin III (11746247),Robert Griffin III,11746247,QB,4500,BAL@KC 12/09/2018 01:00PM ET,BAL,0.42
,,,,,,,,,,WR,Courtland Sutton (11746722),Courtland Sutton,11746722,WR/FLEX,4500,DEN@SF 12/09/2018 04:05PM ET,DEN,8.48
,,,,,,,,,,QB,Nick Foles (11746485),Nick Foles,11746485,QB,4500,PHI@DAL 12/09/2018 04:25PM ET,PHI,12.87
,,,,,,,,,,QB,Joshua Dobbs (11746564),Joshua Dobbs,11746564,QB,4500,PIT@OAK 12/09/2018 04:25PM ET,PIT,0.09
,,,,,,,,,,QB,Mason Rudolph (11746708),Mason Rudolph,11746708,QB,4500,PIT@OAK 12/09/2018 04:25PM ET,PIT,0
,,,,,,,,,,RB,Dion Lewis (11745771),Dion Lewis,11745771,RB/FLEX,4400,JAX@TEN 12/06/2018 08:20PM ET,TEN,11.11
,,,,,,,,,,QB,Cody Kessler (11745952),Cody Kessler,11745952,QB,4400,JAX@TEN 12/06/2018 08:20PM ET,JAX,9.42
,,,,,,,,,,QB,Matt Barkley (11745957),Matt Barkley,11745957,QB,4400,NYJ@BUF 12/09/2018 01:00PM ET,BUF,17.08
,,,,,,,,,,QB,Sam Darnold (11745962),Sam Darnold,11745962,QB,4400,NYJ@BUF 12/09/2018 01:00PM ET,NYJ,13.5
,,,,,,,,,,QB,Josh McCown (11746094),Josh McCown,11746094,QB,4400,NYJ@BUF 12/09/2018 01:00PM ET,NYJ,8.25
,,,,,,,,,,WR,Sterling Shepard (11745882),Sterling Shepard,11745882,WR/FLEX,4400,NYG@WAS 12/09/2018 01:00PM ET,NYG,11.79
,,,,,,,,,,QB,Teddy Bridgewater (11745968),Teddy Bridgewater,11745968,QB,4400,NO@TB 12/09/2018 01:00PM ET,NO,-0.18
,,,,,,,,,,QB,Brian Hoyer (11745979),Brian Hoyer,11745979,QB,4400,NE@MIA 12/09/2018 01:00PM ET,NE,-0.01
,,,,,,,,,,WR,Keke Coutee (11745849),Keke Coutee,11745849,WR/FLEX,4400,IND@HOU 12/09/2018 01:00PM ET,HOU,10.95
,,,,,,,,,,WR,Marquez Valdes-Scantling (11745779),Marquez Valdes-Scantling,11745779,WR/FLEX,4400,ATL@GB 12/09/2018 01:00PM ET,GB,7.59
,,,,,,,,,,RB,Tevin Coleman (11746004),Tevin Coleman,11746004,RB/FLEX,4400,ATL@GB 12/09/2018 01:00PM ET,ATL,12.79
,,,,,,,,,,TE,Jimmy Graham (11746737),Jimmy Graham,11746737,TE/FLEX,4400,ATL@GB 12/09/2018 01:00PM ET,GB,9.38
,,,,,,,,,,QB,C.J. Beathard (11745861),C.J. Beathard,11745861,QB,4400,DEN@SF 12/09/2018 04:05PM ET,SF,14.66
,,,,,,,,,,WR,Dante Pettis (11746769),Dante Pettis,11746769,WR/FLEX,4400,DEN@SF 12/09/2018 04:05PM ET,SF,8.24
,,,,,,,,,,QB,Jeff Driskel (11746019),Jeff Driskel,11746019,QB,4400,CIN@LAC 12/09/2018 04:05PM ET,CIN,8.44
,,,,,,,,,,QB,Blake Bortles (11745812),Blake Bortles,11745812,QB,4300,JAX@TEN 12/06/2018 08:20PM ET,JAX,17.4
,,,,,,,,,,QB,Brock Osweiler (11746185),Brock Osweiler,11746185,QB,4300,NE@MIA 12/09/2018 01:00PM ET,MIA,12.66
,,,,,,,,,,WR,DeVante Parker (11746747),DeVante Parker,11746747,WR/FLEX,4300,NE@MIA 12/09/2018 01:00PM ET,MIA,8.26
,,,,,,,,,,WR,Michael Crabtree (11745983),Michael Crabtree,11745983,WR/FLEX,4300,BAL@KC 12/09/2018 01:00PM ET,BAL,9.97
,,,,,,,,,,QB,Chad Henne (11746226),Chad Henne,11746226,QB,4300,BAL@KC 12/09/2018 01:00PM ET,KC,0
,,,,,,,,,,WR,Anthony Miller (11745906),Anthony Miller,11745906,WR/FLEX,4300,LAR@CHI 12/09/2018 08:20PM ET,CHI,10.06
,,,,,,,,,,QB,Sean Mannion (11745997),Sean Mannion,11745997,QB,4300,LAR@CHI 12/09/2018 08:20PM ET,LAR,0.1
,,,,,,,,,,WR,Randall Cobb (11745923),Randall Cobb,11745923,WR/FLEX,4300,ATL@GB 12/09/2018 01:00PM ET,GB,10.88
,,,,,,,,,,WR,Mohamed Sanu (11746364),Mohamed Sanu,11746364,WR/FLEX,4300,ATL@GB 12/09/2018 01:00PM ET,ATL,10.46
,,,,,,,,,,QB,DeShone Kizer (11746376),DeShone Kizer,11746376,QB,4300,ATL@GB 12/09/2018 01:00PM ET,GB,0.2
,,,,,,,,,,TE,Austin Hooper (11746735),Austin Hooper,11746735,TE/FLEX,4300,ATL@GB 12/09/2018 01:00PM ET,ATL,11.5
